rank,publication_id,doi,pmid,pmcid,title,source_title,anthology_title,publisher,mesh_terms,pubyear,volume,issue,pagination,open_access,publication_type,authors,authors_affiliations,research_organizations_-_standardized,grid_ids,city_of_research_organization,state_of_research_organization,country_of_research_organization,funder,funder_group,funder_country,uids_of_supporting_grants,supporting_grants,times_cited,recent_citations,rcr,fcr,source_linkout,dimensions_url,for_(anzsrc)_categories,for_1,for_2,for_3,for_4,for_5,rcdc_categories,rcdc_1,rcdc_2,rcdc_3,rcdc_4,rcdc_5,hrcs_hc_categories,hrcs_hc_1,hrcs_hc_2,hrcs_hc_3,hrcs_hc_4,hrcs_hc_5,hrcs_rac_categories,hrcs_rac_1,hrcs_rac_2,hrcs_rac_3,hrcs_rac_4,hrcs_rac_5,health_research_areas,broad_research_areas,icrp_cancer_types,icrp_cancer_types_1,icrp_cancer_types_2,icrp_cancer_types_3,icrp_cancer_types_4,icrp_cancer_types_5,icrp_cso_categories,icrp_cso_1,icrp_cso_2,icrp_cso_3,icrp_cso_4,icrp_cso_5,domain,search_note,norm_rank
210,pub.1110398324,10.1016/j.jneb.2018.10.004,30528117,,Development and Testing of the Healthy Food Pantry Assessment Tool,Journal of Nutrition Education and Behavior,,Elsevier,,2019,51,J Nutr 140 2010,578-588,Closed,article,"Bush-Kaufman, Alexandra; Barale, Karen; Aragón, M. Catalina; Walsh, Marie","Bush-Kaufman, Alexandra (Washington State University); Barale, Karen (Washington State University); Aragón, M. Catalina (Washington State University); Walsh, Marie ()",Washington State University,grid.30064.31,Pullman,Washington,United States,National Institute of Food and Agriculture,USDA,United States,grant.3954693,2014-48757-22607,0,0,0,0,,https://app.dimensions.ai/details/publication/pub.1110398324,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Clinical Research,Clinical Research,,,,,,,,,,,,,,,,,Population & Society,,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.37037037
209,pub.1010563911,10.1542/peds.2013-0597,23897910,PMC3727676,Diaper Need and Its Impact on Child Health,Pediatrics,,American Academy of Pediatrics (AAP),"Adult; Cohort Studies; Connecticut; Cross-Sectional Studies; Data Collection; Diapers, Infant; Female; Health Services Needs and Demand; Humans; Infant; Infant, Newborn; Mental Disorders; Mental Health Services; Poverty; Pregnancy; Urban Population; Young Adult",2013,132,2,253-259,All OA; Bronze,article,"Smith, Megan V.; Kruse, Anna; Weir, Alison; Goldblum, Joanne","Smith, Megan V. (Yale University); Kruse, Anna (Yale University); Weir, Alison (); Goldblum, Joanne ()",Yale University,grid.47100.32,New Haven,Connecticut,United States,National Institute on Drug Abuse; United States Public Health Service,NIH,United States; United States,grant.2416466,K12DA031050,15,13,1.07,2.42,http://pediatrics.aappublications.org/content/132/2/253.full.pdf,https://app.dimensions.ai/details/publication/pub.1010563911,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Clinical Research; Prevention; Behavioral and Social Science; Mental Health; Pediatric; Basic Behavioral and Social Science,Clinical Research,Prevention,Behavioral and Social Science,Mental Health,Pediatric,Reproductive Health and Childbirth; Mental Health,Reproductive Health and Childbirth,Mental Health,,,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.368606702
205,pub.1112278660,10.3390/children6020031,30791653,PMC6406965,Tobacco Use as a Health Disparity: What Can Pediatric Clinicians Do?,Children,,MDPI,,2019,6,2,31,Closed,article,"Marbin, Jyothi Nagraj; Gribben, Valerie","Marbin, Jyothi Nagraj (University of California, San Francisco); Gribben, Valerie (University of California, San Francisco)","University of California, San Francisco",grid.266102.1,San Francisco,California,United States,,,,,,0,0,0,0,,https://app.dimensions.ai/details/publication/pub.1112278660,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Smoking and Health; Prevention; Pediatric Research Initiative; Behavioral and Social Science; Pediatric; Cancer; Tobacco,Smoking and Health,Prevention,Pediatric Research Initiative,Behavioral and Social Science,Pediatric,Respiratory; Cancer,Respiratory,Cancer,,,,3.1 Primary prevention interventions to modify behaviours or promote well-being,3.1 Primary prevention interventions to modify behaviours or promote well-being,,,,,Population & Society,Public Health,Lung Cancer; Laryngeal Cancer; Bladder Cancer; Esophageal / Oesophageal Cancer; Pharyngeal Cancer; Not Site-Specific Cancer,Lung Cancer,Laryngeal Cancer,Bladder Cancer,Esophageal / Oesophageal Cancer,Pharyngeal Cancer,3.1 Interventions to Prevent Cancer: Personal Behaviors That Affect Cancer Risk,3.1 Interventions to Prevent Cancer: Personal Behaviors That Affect Cancer Risk,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.361552028
203,pub.1015420422,10.3945/ajcn.112.037622,22836028,,"Food-package assignments and breastfeeding initiation before and after a change in the Special Supplemental Nutrition Program for Women, Infants, and Children",American Journal of Clinical Nutrition,,Oxford University Press (OUP),"Breast Feeding; Female; Food Services; Health Plan Implementation; Health Promotion; Humans; Infant; Infant Formula; Infant, Newborn; Male; Outcome and Process Assessment (Health Care); United States; United States Department of Agriculture",2012,96,3,560-566,All OA; Bronze,article,"Wilde, Parke; Wolf, Anne; Fernandes, Meena; Collins, Ann","Wilde, Parke (); Wolf, Anne (); Fernandes, Meena (); Collins, Ann ()",,,,,,,,,,,17,3,1.18,2.59,https://academic.oup.com/ajcn/article-pdf/96/3/560/23817107/560.pdf,https://app.dimensions.ai/details/publication/pub.1015420422,1117 Public Health and Health Services; 1114 Paediatrics and Reproductive Medicine,1117 Public Health and Health Services,1114 Paediatrics and Reproductive Medicine,,,,Pediatric; Prevention; Nutrition,Pediatric,Prevention,Nutrition,,,Reproductive Health and Childbirth,Reproductive Health and Childbirth,,,,,,,,,,,,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.358024691
202,pub.1052332430,10.1093/aje/kwv249,26946395,PMC5013929,"Health Behaviors, Mental Health, and Health Care Utilization Among Single Mothers After Welfare Reforms in the 1990s",American Journal of Epidemiology,,Oxford University Press (OUP),Adolescent; Adult; Behavioral Risk Factor Surveillance System; Cross-Sectional Studies; Female; Health Behavior; Health Care Reform; Humans; Mental Health; Middle Aged; Mothers; Single Parent; Social Welfare; Socioeconomic Factors; United States,2016,183,6,531-538,All OA; Bronze,article,"Basu, Sanjay; Rehkopf, David H.; Siddiqi, Arjumand; Glymour, M. Maria; Kawachi, Ichiro","Basu, Sanjay (); Rehkopf, David H. (); Siddiqi, Arjumand (); Glymour, M. Maria (); Kawachi, Ichiro ()",,,,,,National Center for Chronic Disease Prevention and Health Promotion; National Institute on Aging; National Institute On Minority Health and Health Disparities,NIH; CDC,United States; United States; United States,grant.3536154; grant.4728565,DP2MD010478; K01AG047280,20,17,3.83,6.73,https://academic.oup.com/aje/article-pdf/183/6/531/17343029/kwv249.pdf,https://app.dimensions.ai/details/publication/pub.1052332430,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Basic Behavioral and Social Science; Health Services; Behavioral and Social Science; Clinical Research; Aging,Basic Behavioral and Social Science,Health Services,Behavioral and Social Science,Clinical Research,Aging,Generic Health Relevance,Generic Health Relevance,,,,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.356261023
201,pub.1113378957,10.1080/03670244.2019.1598979,30977395,,National Trends in Food Insecurity and Congregation-Based Food Provision between 1998 and 2012,Ecology of Food and Nutrition,,Taylor & Francis,,2019,,,16-Jan,Closed,article,"Flórez, Karen R.; Fulton, Brad; Derose, Kathryn P.","Flórez, Karen R. (City University of New York); Fulton, Brad (Indiana University Bloomington); Derose, Kathryn P. (RAND Corporation)",RAND Corporation; Indiana University Bloomington; City University of New York,grid.34474.30; grid.411377.7; grid.212340.6,Santa Monica; Bloomington; New York,California; Indiana; New York,United States; United States; United States,,,,,,0,0,0,0,,https://app.dimensions.ai/details/publication/pub.1113378957,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Prevention,Prevention,,,,,,,,,,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.354497354
199,pub.1001445046,10.1007/s10995-013-1281-2,23771236,,Securing the Safety Net: Concurrent Participation in Income Eligible Assistance Programs,Maternal and Child Health Journal,,Springer Nature,"Adult; Cross-Sectional Studies; Databases, Factual; Female; Food Assistance; Health Services Accessibility; Humans; Maryland; Maternal Health Services; Medical Assistance; Middle Aged; Poverty; Young Adult",2014,18,3,604-612,Closed,article,"Gilbert, Danielle; Nanda, Joy; Paige, David","Gilbert, Danielle (Children's Hospital of Pittsburgh; Johns Hopkins University; Thomas Jefferson University); Nanda, Joy (Johns Hopkins University); Paige, David (Johns Hopkins University)",Children's Hospital of Pittsburgh; Johns Hopkins University; Thomas Jefferson University,grid.239553.b; grid.21107.35; grid.265008.9,Pittsburgh; Baltimore; Philadelphia,Pennsylvania; Maryland; Pennsylvania,United States; United States; United States,Bloomberg (United States),,United States,,,12,9,0.68,2.25,,https://app.dimensions.ai/details/publication/pub.1001445046,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Pediatric,Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.350970018
198,pub.1046984473,10.1111/1475-6773.12157,24476128,PMC4239849,The Effects of Express Lane Eligibility on Medicaid and CHIP Enrollment among Children,Health Services Research,,Wiley,"Child; Child, Preschool; Eligibility Determination; Health Policy; Humans; Medicaid; Medically Uninsured; Multivariate Analysis; State Government; United States",2014,49,4,1268-1289,"All OA; Green, Published",article,"Blavin, Fredric; Kenney, Genevieve M.; Huntress, Michael","Blavin, Fredric (); Kenney, Genevieve M. (); Huntress, Michael ()",,,,,,Centers for Disease Control and Prevention,CDC,United States,,,7,1,1.05,1.31,http://europepmc.org/articles/pmc4239849?pdf=render,https://app.dimensions.ai/details/publication/pub.1046984473,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Clinical Research,Clinical Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.349206349
198,pub.1019428247,10.1111/1475-6773.12241,25290644,PMC4450923,Health Care Utilization among Children Enrolled in Medicaid and CHIP via Express Lane Eligibility,Health Services Research,,Wiley,"Adolescent; Child; Child Health Services; Child, Preschool; Eligibility Determination; Female; Health Services; Health Services Accessibility; Humans; Infant; Infant, Newborn; Insurance Claim Review; Insurance, Health; Male; Medicaid; Patient Acceptance of Health Care; Residence Characteristics; Socioeconomic Factors; State Health Plans; Time Factors; United States",2015,50,3,642-662,"All OA; Green, Published",article,"Colby, Margaret; Natzke, Brenda","Colby, Margaret (); Natzke, Brenda ()",,,,,,,,,,,1,0,0.19,0.32,http://europepmc.org/articles/pmc4450923?pdf=render,https://app.dimensions.ai/details/publication/pub.1019428247,1117 Public Health and Health Services; 1402 Applied Economics,1117 Public Health and Health Services,1402 Applied Economics,,,,Clinical Research; Health Services,Clinical Research,Health Services,,,,,,,,,,8.1 Organisation and delivery of services,8.1 Organisation and delivery of services,,,,,Health services & systems,Health Services Research,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.349206349
195,pub.1025486040,10.1016/j.jneb.2016.03.003,27085256,,"Food Shopping Venues, Neighborhood Food Environment, and Body Mass Index Among Guyanese, Black, and White Adults in an Urban Community in the US",Journal of Nutrition Education and Behavior,,Elsevier,Adult; African Americans; Body Mass Index; Cross-Sectional Studies; European Continental Ancestry Group; Female; Food Supply; Guyana; Humans; Male; Middle Aged; New York; Urban Population,2016,48,6,361-368.e1,Closed,article,"Hosler, Akiko S.; Michaels, Isaac. H.; Buckenmeyer, Erin M.","Hosler, Akiko S. (University at Albany, State University of New York); Michaels, Isaac. H. (University at Albany, State University of New York); Buckenmeyer, Erin M. ()","University at Albany, State University of New York",grid.265850.c,Albany,New York,United States,,,,,,7,6,0.71,2.27,,https://app.dimensions.ai/details/publication/pub.1025486040,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Obesity; Prevention; Cancer; Nutrition,Obesity,Prevention,Cancer,Nutrition,,Stroke; Oral and Gastrointestinal; Cardiovascular; Metabolic and Endocrine; Cancer,Stroke,Oral and Gastrointestinal,Cardiovascular,Metabolic and Endocrine,Cancer,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.343915344
195,pub.1067831372,10.1542/peds.2015-3673,26933205,,Determinants of Health and Pediatric Primary Care Practices,Pediatrics,,American Academy of Pediatrics (AAP),Child; Child Health Services; Delivery of Health Care; Health Policy; Humans; Pediatrics; Primary Health Care,2016,137,3,e20153673,All OA; Bronze,article,"Beck, Andrew F.; Tschudy, Megan M.; Coker, Tumaini R.; Mistry, Kamila B.; Cox, Joanne E.; Gitterman, Benjamin A.; Chamberlain, Lisa J.; Grace, Aimee M.; Hole, Michael K.; Klass, Perri E.; Lobach, Katherine S.; T., Christine; Navsaria, Dipesh; Northrip, Kimberly D.; Sadof, Matthew D.; Shah, Anita N.; Fierman, Arthur H.","Beck, Andrew F. (Cincinnati Children's Hospital Medical Center); Tschudy, Megan M. (Johns Hopkins University); Coker, Tumaini R. (Mattel Children's Hospital); Mistry, Kamila B. (Johns Hopkins University; Agency for Healthcare Research and Quality); Cox, Joanne E. (Boston Children's Hospital); Gitterman, Benjamin A. (University of Washington); Chamberlain, Lisa J. (Lucile Packard Children's Hospital); Grace, Aimee M. (George Washington University); Hole, Michael K. (Boston Children's Hospital); Klass, Perri E. (New York University); Lobach, Katherine S. (); T., Christine (UCSF Benioff Children's Hospital); Navsaria, Dipesh (University of Wisconsin–Madison); Northrip, Kimberly D. (University of Kentucky); Sadof, Matthew D. (); Shah, Anita N. (Cincinnati Children's Hospital Medical Center); Fierman, Arthur H. (New York University)",Agency for Healthcare Research and Quality; University of Washington; University of Kentucky; George Washington University; Lucile Packard Children's Hospital; UCSF Benioff Children's Hospital; Mattel Children's Hospital; Cincinnati Children's Hospital Medical Center; Boston Children's Hospital; New York University; University of Wisconsin–Madison; Johns Hopkins University,grid.413404.6; grid.34477.33; grid.266539.d; grid.253615.6; grid.414123.1; grid.414016.6; grid.416593.c; grid.239573.9; grid.2515.3; grid.137628.9; grid.14003.36; grid.21107.35,Rockville; Seattle; Lexington; Washington D.C.; Palo Alto; Oakland; Los Angeles; Cincinnati; Boston; New York; Madison; Baltimore,Maryland; Washington; Kentucky; District of Columbia; California; California; California; Ohio; Massachusetts; New York; Wisconsin; Maryland,United States; United States; United States; United States; United States; United States; United States; United States; United States; United States; United States; United States,,,,,,26,24,2.9,8.75,http://pediatrics.aappublications.org/content/137/3/e20153673.full.pdf,https://app.dimensions.ai/details/publication/pub.1067831372,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Health Services; Behavioral and Social Science; Pediatric; Clinical Research,Health Services,Behavioral and Social Science,Pediatric,Clinical Research,,Generic Health Relevance,Generic Health Relevance,,,,,7.1 Individual care needs; 8.1 Organisation and delivery of services,7.1 Individual care needs,8.1 Organisation and delivery of services,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.343915344
